specialite_1,specialite_2,of,pct_multi,stag_mean_tam
Santé,Spécialités pluriscientifiques,14,0.04701457451810061,78.66666666666667
Autres...,"Spécialités pluridisciplinaires, sciences humaines et droit",14,0.04701457451810061,163.0
Autres...,"Productions végétales,cultures spécialisées",14,0.04701457451810061,176.66666666666666
"Accueil, hôtellerie, tourisme",Travail social,14,0.04701457451810061,74.0
"Animation culturelle, sportive et de loisirs",Autres disciplines artistiques et spécialités artistiques plurivalentes,14,0.04701457451810061,3.0
Spécialités littéraires et artistiques plurivalentes,Spécialités plurivalentes de la communication,14,0.04701457451810061,0.0
"Energie, génie climatique","Informatique, traitement de l'information, réseaux de transmission des données",14,0.04701457451810061,236.0
Autres...,Technologies industrielles fondamentales,14,0.04701457451810061,263.0
Autres...,"Mathématiques, statistiques",14,0.04701457451810061,256.0
Bâtiment: finitions,"Comptabilité, gestion",14,0.04701457451810061,62.5
Physique-chimie,Spécialités pluriscientifiques,14,0.04701457451810061,0.0
"Comptabilité, gestion","Energie, génie climatique",14,0.04701457451810061,133.0
"Animation culturelle, sportive et de loisirs",Développement des capacités individuelles d'organisation,14,0.04701457451810061,375.0
Bâtiment: construction et couverture,"Droit, sciences politiques",14,0.04701457451810061,135.0
"Comptabilité, gestion","Nettoyage, assainissement, protection de l'environnement",14,0.04701457451810061,426.3333333333333
"Spécialités pluridisciplinaires, sciences humaines et droit",Spécialités plurivalentes des services,14,0.04701457451810061,551.0
"Mécanique générale et de précision, usinage",Structures métalliques,14,0.04701457451810061,130.0
"Sécurité des biens et des personnes, police, surveillance","Vie familiale, vie sociale et autres formations au développement personnel",14,0.04701457451810061,251.33333333333334
Formations générales,Spécialités littéraires et artistiques plurivalentes,14,0.04701457451810061,0.0
Arts plastiques,"Informatique, traitement de l'information, réseaux de transmission des données",14,0.04701457451810061,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Français, littérature et civilisation françaises",14,0.04701457451810061,362.25
"Coiffure, esthétique et autres spécialités des services aux personnes",Spécialités plurivalentes de la communication,14,0.04701457451810061,171.0
Spécialités plurivalentes de la communication,"Sécurité des biens et des personnes, police, surveillance",14,0.04701457451810061,560.5
Linguistique,Travail social,14,0.04701457451810061,198.66666666666666
Formations générales,Physique-chimie,14,0.04701457451810061,390.0
"Droit, sciences politiques","Français, littérature et civilisation françaises",14,0.04701457451810061,105.0
"Energie, génie climatique",Spécialités plurivalentes des échanges et de la gestion,14,0.04701457451810061,1963.5
"Comptabilité, gestion",Spécialités plurivalentes de l'agronomie et de l'agriculture,14,0.04701457451810061,165.5
"Energie, génie climatique","Langues vivantes, civilisations étrangères et régionales",14,0.04701457451810061,161.2
Autres...,Spécialités plurivalentes de l'agronomie et de l'agriculture,14,0.04701457451810061,138.25
"Nettoyage, assainissement, protection de l'environnement",Spécialités plurivalentes sanitaires et sociales,14,0.04701457451810061,173.66666666666666
"Langues vivantes, civilisations étrangères et régionales","Spécialités pluritechnologiques, génie civil, construction, bois",14,0.04701457451810061,195.5
Spécialités plurivalentes de l'agronomie et de l'agriculture,Spécialités plurivalentes des échanges et de la gestion,14,0.04701457451810061,128.33333333333334
Linguistique,Spécialités plurivalentes sanitaires et sociales,14,0.04701457451810061,208.0
Economie,Géographie,13,0.04365639062395057,0.0
"Commerce, vente",Psychologie,13,0.04365639062395057,228.0
"Accueil, hôtellerie, tourisme","Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",13,0.04365639062395057,98.0
"Droit, sciences politiques","Philosophie, éthique et théologie",13,0.04365639062395057,32.0
Bâtiment: construction et couverture,"Enseignement, formation",13,0.04365639062395057,1223.5
"Agro-alimentaire, alimentation, cuisine","Chimie-biologie, biochimie",13,0.04365639062395057,51.0
Sciences de la terre,Sciences de la vie,13,0.04365639062395057,0.0
"Animation culturelle, sportive et de loisirs",Spécialités plurivalentes de la communication,13,0.04365639062395057,69.0
"Comptabilité, gestion","Productions végétales,cultures spécialisées",13,0.04365639062395057,175.0
"Musique, arts du spectacle",Spécialités littéraires et artistiques plurivalentes,13,0.04365639062395057,14.0
"Finances, banque, assurances","Spécialités pluridisciplinaires, sciences humaines et droit",13,0.04365639062395057,0.0
"Commerce, vente","Vie familiale, vie sociale et autres formations au développement personnel",13,0.04365639062395057,85.66666666666667
"Coiffure, esthétique et autres spécialités des services aux personnes",Travail social,13,0.04365639062395057,0.0
"Informatique, traitement de l'information, réseaux de transmission des données","Spécialités pluritechnologiques, génie civil, construction, bois",13,0.04365639062395057,52.0
Arts plastiques,"Musique, arts du spectacle",13,0.04365639062395057,17.0
Spécialités pluriscientifiques,Spécialités plurivalentes des échanges et de la gestion,13,0.04365639062395057,149.0
Autres...,Développement des capacités mentales et apprentissages de base,13,0.04365639062395057,80.0
"Droit, sciences politiques","Energie, génie climatique",13,0.04365639062395057,0.0
Spécialités plurivalentes sanitaires et sociales,"Transport, manutention, magasinage",13,0.04365639062395057,215.5
Technologies industrielles fondamentales,Transformations chimiques et apparentées (y compris pharmaceutiques),13,0.04365639062395057,66.0
Application des droits et statuts des personnes,Travail social,13,0.04365639062395057,0.0
"Spécialités plutitechnologiques, mécanique-électricité","Transport, manutention, magasinage",13,0.04365639062395057,189.0
"Agro-alimentaire, alimentation, cuisine",Spécialités plurivalentes de la communication,13,0.04365639062395057,153.2
"Comptabilité, gestion",Techniques de l'imprimerie et de l'édition,13,0.04365639062395057,146.5
"Langues vivantes, civilisations étrangères et régionales",Spécialités concernant plusieurs capacités,12,0.04029820672980052,184.0
"Animation culturelle, sportive et de loisirs",Spécialités plurivalentes des échanges et de la gestion,12,0.04029820672980052,0.0
"Finances, banque, assurances","Mathématiques, statistiques",12,0.04029820672980052,0.0
Sciences de la terre,Sciences naturelles (Biologie-Géologie),12,0.04029820672980052,0.0
Bâtiment: construction et couverture,"Matériaux de construction, verre, céramique",12,0.04029820672980052,115.5
Autres...,"Spécialités pluritechnologiques, génie civil, construction, bois",12,0.04029820672980052,169.0
Autres...,Technologies de commandes des transformations industrielles,12,0.04029820672980052,54.0
"Energie, génie climatique",Moteurs et mécanique auto,12,0.04029820672980052,352.0
"Comptabilité, gestion","Musique, arts du spectacle",12,0.04029820672980052,48.0
"Energie, génie climatique","Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",12,0.04029820672980052,134.0
"Enseignement, formation","Mathématiques, statistiques",12,0.04029820672980052,0.0
Spécialités littéraires et artistiques plurivalentes,Spécialités plurivalentes des échanges et de la gestion,12,0.04029820672980052,0.0
"Animation culturelle, sportive et de loisirs","Secrétariat, bureautique",12,0.04029820672980052,216.0
"Comptabilité, gestion","Productions animales, élevage spécialisé, aquaculture, ...",12,0.04029820672980052,507.0
"Accueil, hôtellerie, tourisme",Spécialités plurivalentes de la communication,12,0.04029820672980052,193.0
"Accueil, hôtellerie, tourisme","Coiffure, esthétique et autres spécialités des services aux personnes",12,0.04029820672980052,0.0
Application des droits et statuts des personnes,"Sécurité des biens et des personnes, police, surveillance",12,0.04029820672980052,296.0
"Comptabilité, gestion","Techniques de l'image et du son, métiers connexes du spectacle",12,0.04029820672980052,63.25
Arts plastiques,Journalisme et communication,12,0.04029820672980052,0.0
"Enseignement, formation","Productions animales, élevage spécialisé, aquaculture, ...",12,0.04029820672980052,4.0
"Aménagement du territoire, développement, urbanisme","Informatique, traitement de l'information, réseaux de transmission des données",12,0.04029820672980052,161.5
Economie,Linguistique,12,0.04029820672980052,532.0
Autres...,Textile,12,0.04029820672980052,129.66666666666666
"Coiffure, esthétique et autres spécialités des services aux personnes","Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",12,0.04029820672980052,118.0
Linguistique,Santé,12,0.04029820672980052,5946.5
Spécialités plurivalentes sanitaires et sociales,"Vie familiale, vie sociale et autres formations au développement personnel",12,0.04029820672980052,109.0
"Droit, sciences politiques","Spécialités pluritechnologiques, génie civil, construction, bois",12,0.04029820672980052,121.0
"Energie, génie climatique",Spécialités pluriscientifiques,12,0.04029820672980052,0.0
Formations générales,"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",12,0.04029820672980052,268.25
"Agro-alimentaire, alimentation, cuisine",Technologies industrielles fondamentales,12,0.04029820672980052,249.0
Formations générales,Techniques de l'imprimerie et de l'édition,12,0.04029820672980052,110.0
"Français, littérature et civilisation françaises",Spécialités plurivalentes des échanges et de la gestion,12,0.04029820672980052,427.0
"Sécurité des biens et des personnes, police, surveillance","Techniques de l'image et du son, métiers connexes du spectacle",12,0.04029820672980052,820.5
Spécialités plurivalentes des services à la collectivité,Spécialités plurivalentes sanitaires et sociales,11,0.03694002283565048,0.0
"Aménagement du territoire, développement, urbanisme",Bâtiment: finitions,11,0.03694002283565048,0.0
"Agro-alimentaire, alimentation, cuisine",Transformations chimiques et apparentées (y compris pharmaceutiques),11,0.03694002283565048,260.0
"Philosophie, éthique et théologie",Santé,11,0.03694002283565048,119.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Linguistique,11,0.03694002283565048,0.0
"Energie, génie climatique","Ressources humaines, gestion du personnel, gestion de l'emploi",11,0.03694002283565048,0.0
Arts plastiques,"Techniques de l'image et du son, métiers connexes du spectacle",11,0.03694002283565048,0.0
Développement des capacités mentales et apprentissages de base,"Sécurité des biens et des personnes, police, surveillance",11,0.03694002283565048,311.0
Autres...,Spécialités pluriscientifiques,11,0.03694002283565048,39.5
"Spécialités pluritechnologiques, génie civil, construction, bois",Spécialités plurivalentes de la communication,11,0.03694002283565048,29.0
"Electricité, électronique (non compris automatisme et productique)","Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",11,0.03694002283565048,329.0
Application des droits et statuts des personnes,"Enseignement, formation",11,0.03694002283565048,129.0
Arts plastiques,Autres...,11,0.03694002283565048,0.0
Développement des capacités comportementales et relationnelles,"Techniques de l'image et du son, métiers connexes du spectacle",11,0.03694002283565048,204.0
Pratiques sportives,"Ressources humaines, gestion du personnel, gestion de l'emploi",11,0.03694002283565048,70.0
Développement des capacités comportementales et relationnelles,Jeux et activités spécifiques de loisirs,11,0.03694002283565048,79.5
"Comptabilité, gestion","Français, littérature et civilisation françaises",11,0.03694002283565048,100.33333333333333
Arts plastiques,"Langues vivantes, civilisations étrangères et régionales",11,0.03694002283565048,117.0
"Finances, banque, assurances","Langues vivantes, civilisations étrangères et régionales",11,0.03694002283565048,31.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Spécialités plurivalentes des services,11,0.03694002283565048,1146.0
Bâtiment: finitions,"Informatique, traitement de l'information, réseaux de transmission des données",11,0.03694002283565048,136.5
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Finances, banque, assurances",11,0.03694002283565048,3753.25
Bâtiment: finitions,"Ressources humaines, gestion du personnel, gestion de l'emploi",11,0.03694002283565048,69.0
Spécialités pluritechnologiques des transformations,"Spécialités plutitechnologiques, mécanique-électricité",11,0.03694002283565048,0.0
"Ressources humaines, gestion du personnel, gestion de l'emploi","Spécialités plutitechnologiques, mécanique-électricité",11,0.03694002283565048,0.0
"Commerce, vente",Spécialités pluriscientifiques,11,0.03694002283565048,132.0
"Langues vivantes, civilisations étrangères et régionales",Spécialités plurivalentes sanitaires et sociales,11,0.03694002283565048,176.75
"Spécialités plutitechnologiques, mécanique-électricité","Sécurité des biens et des personnes, police, surveillance",11,0.03694002283565048,321.5
Formations générales,Mécanique aéronautique et spatiale,11,0.03694002283565048,8.0
Bâtiment: construction et couverture,"Langues vivantes, civilisations étrangères et régionales",11,0.03694002283565048,109.5
Formations générales,Spécialités pluritechnologiques des transformations,11,0.03694002283565048,69.66666666666667
"Finances, banque, assurances",Linguistique,11,0.03694002283565048,37.0
"Agro-alimentaire, alimentation, cuisine","Spécialités pluritechnologiques, génie civil, construction, bois",11,0.03694002283565048,0.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)","Plasturgie, matériaux composites",10,0.033581838941500436,269.5
Langues et civilisations anciennes,"Langues vivantes, civilisations étrangères et régionales",10,0.033581838941500436,493.0
Cuirs et peaux,"Habillement (y compris mode, couture)",10,0.033581838941500436,96.5
Développement des capacités individuelles d'organisation,Journalisme et communication,10,0.033581838941500436,0.0
Développement des capacités comportementales et relationnelles,"Philosophie, éthique et théologie",10,0.033581838941500436,0.0
"Langues vivantes, civilisations étrangères et régionales",Psychologie,10,0.033581838941500436,0.0
"Aménagement du territoire, développement, urbanisme",Protection et développement du patrimoine,10,0.033581838941500436,40.0
"Commerce, vente",Travail du bois et de l'ameublement,10,0.033581838941500436,1296.5
Développement des capacités individuelles d'organisation,Pratiques sportives,10,0.033581838941500436,0.0
Economie,Journalisme et communication,10,0.033581838941500436,0.0
Développement des capacités comportementales et relationnelles,"Productions animales, élevage spécialisé, aquaculture, ...",10,0.033581838941500436,0.0
"Animation culturelle, sportive et de loisirs",Développement des capacités mentales et apprentissages de base,10,0.033581838941500436,261.0
Bâtiment: finitions,"Sécurité des biens et des personnes, police, surveillance",10,0.033581838941500436,84.0
Spécialités plurivalentes des services,"Spécialités plutitechnologiques, mécanique-électricité",10,0.033581838941500436,474.0
Spécialités plurivalentes des échanges et de la gestion,"Techniques de l'image et du son, métiers connexes du spectacle",10,0.033581838941500436,61.0
"Agro-alimentaire, alimentation, cuisine",Spécialités pluriscientifiques,10,0.033581838941500436,0.0
"Accueil, hôtellerie, tourisme",Développement des capacités individuelles d'organisation,10,0.033581838941500436,81.0
"Musique, arts du spectacle","Ressources humaines, gestion du personnel, gestion de l'emploi",10,0.033581838941500436,18.0
"Productions animales, élevage spécialisé, aquaculture, ...","Ressources humaines, gestion du personnel, gestion de l'emploi",10,0.033581838941500436,271.3333333333333
"Animation culturelle, sportive et de loisirs","Musique, arts du spectacle",10,0.033581838941500436,149.5
"Langues vivantes, civilisations étrangères et régionales","Mathématiques, statistiques",10,0.033581838941500436,0.0
"Français, littérature et civilisation françaises",Journalisme et communication,10,0.033581838941500436,58.0
"Agro-alimentaire, alimentation, cuisine","Spécialités pluridisciplinaires, sciences humaines et droit",10,0.033581838941500436,248.0
Psychologie,Spécialités plurivalentes de la communication,10,0.033581838941500436,379.0
"Accueil, hôtellerie, tourisme",Linguistique,10,0.033581838941500436,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Linguistique,10,0.033581838941500436,5.5
Linguistique,"Musique, arts du spectacle",10,0.033581838941500436,17.0
"Ressources humaines, gestion du personnel, gestion de l'emploi",Spécialités plurivalentes de l'agronomie et de l'agriculture,10,0.033581838941500436,0.0
Journalisme et communication,"Spécialités pluridisciplinaires, sciences humaines et droit",10,0.033581838941500436,0.0
Formations générales,"Forêts, espaces naturels, faune sauvage, pêche",10,0.033581838941500436,101.0
"Aménagement paysager (parcs, jardins, espaces verts)",Autres...,10,0.033581838941500436,133.0
"Mécanique générale et de précision, usinage","Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",10,0.033581838941500436,198.5
Structures métalliques,Technologies industrielles fondamentales,10,0.033581838941500436,104.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Sécurité des biens et des personnes, police, surveillance",10,0.033581838941500436,464.3333333333333
Développement des capacités comportementales et relationnelles,Spécialités plurivalentes de l'agronomie et de l'agriculture,10,0.033581838941500436,181.0
"Ressources humaines, gestion du personnel, gestion de l'emploi","Techniques de l'image et du son, métiers connexes du spectacle",10,0.033581838941500436,56.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Spécialités pluridisciplinaires, sciences humaines et droit",10,0.033581838941500436,336.5
Technologies industrielles fondamentales,"Transport, manutention, magasinage",10,0.033581838941500436,0.0
"Energie, génie climatique","Mines et carrières, génie civil, topographie",10,0.033581838941500436,112.0
"Nettoyage, assainissement, protection de l'environnement","Secrétariat, bureautique",10,0.033581838941500436,74.0
"Aménagement paysager (parcs, jardins, espaces verts)","Spécialités pluritechnologiques, génie civil, construction, bois",10,0.033581838941500436,0.0
Linguistique,Technologies industrielles fondamentales,10,0.033581838941500436,6.0
Spécialités plurivalentes de l'agronomie et de l'agriculture,"Transport, manutention, magasinage",10,0.033581838941500436,255.5
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Techniques de l'image et du son, métiers connexes du spectacle",9,0.03022365504735039,62.5
Développement des capacités mentales et apprentissages de base,Spécialités plurivalentes de la communication,9,0.03022365504735039,77.0
Développement des capacités mentales et apprentissages de base,Spécialités plurivalentes sanitaires et sociales,9,0.03022365504735039,329.3333333333333
"Aménagement du territoire, développement, urbanisme","Commerce, vente",9,0.03022365504735039,0.0
Développement des capacités comportementales et relationnelles,"Energie, génie climatique",9,0.03022365504735039,88.0
"Spécialités pluritechnologiques, génie civil, construction, bois",Technologies de commandes des transformations industrielles,9,0.03022365504735039,13.0
"Enseignement, formation",Jeux et activités spécifiques de loisirs,9,0.03022365504735039,67.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Ressources humaines, gestion du personnel, gestion de l'emploi",9,0.03022365504735039,30.0
Application des droits et statuts des personnes,"Droit, sciences politiques",9,0.03022365504735039,0.0
Application des droits et statuts des personnes,"Informatique, traitement de l'information, réseaux de transmission des données",9,0.03022365504735039,0.0
"Comptabilité, gestion","Sciences sociales (y compris démographie, anthropologie)",9,0.03022365504735039,0.0
Formations générales,Sciences de la vie,9,0.03022365504735039,55.5
Arts plastiques,"Commerce, vente",9,0.03022365504735039,108.0
Spécialités pluritechnologiques des transformations,"Spécialités pluritechnologiques, génie civil, construction, bois",9,0.03022365504735039,0.0
Spécialités plurivalentes des échanges et de la gestion,Travail social,9,0.03022365504735039,49.0
Journalisme et communication,Santé,9,0.03022365504735039,120.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Habillement (y compris mode, couture)",9,0.03022365504735039,0.0
"Spécialités pluridisciplinaires, sciences humaines et droit","Sécurité des biens et des personnes, police, surveillance",9,0.03022365504735039,464.0
Arts plastiques,"Français, littérature et civilisation françaises",9,0.03022365504735039,0.0
"Informatique, traitement de l'information, réseaux de transmission des données","Vie familiale, vie sociale et autres formations au développement personnel",9,0.03022365504735039,7.0
"Productions animales, élevage spécialisé, aquaculture, ...",Santé,9,0.03022365504735039,55.0
Linguistique,Spécialités littéraires et artistiques plurivalentes,9,0.03022365504735039,0.0
"Français, littérature et civilisation françaises",Spécialités plurivalentes sanitaires et sociales,9,0.03022365504735039,223.0
"Animation culturelle, sportive et de loisirs","Langues vivantes, civilisations étrangères et régionales",9,0.03022365504735039,132.0
Economie,"Français, littérature et civilisation françaises",9,0.03022365504735039,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Informatique, traitement de l'information, réseaux de transmission des données",9,0.03022365504735039,235.0
"Philosophie, éthique et théologie",Psychologie,9,0.03022365504735039,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Langues vivantes, civilisations étrangères et régionales",9,0.03022365504735039,19.0
"Habillement (y compris mode, couture)",Spécialités plurivalentes des échanges et de la gestion,9,0.03022365504735039,0.0
"Comptabilité, gestion",Technologies de commandes des transformations industrielles,9,0.03022365504735039,76.0
Autres...,"Spécialités plutitechnologiques, mécanique-électricité",9,0.03022365504735039,0.0
Formations générales,Physique,9,0.03022365504735039,0.0
Spécialités pluriscientifiques,"Spécialités pluritechnologiques, génie civil, construction, bois",9,0.03022365504735039,0.0
"Spécialités pluritechnologiques, génie civil, construction, bois",Spécialités plurivalentes de l'agronomie et de l'agriculture,9,0.03022365504735039,0.0
"Plasturgie, matériaux composites","Ressources humaines, gestion du personnel, gestion de l'emploi",9,0.03022365504735039,159.66666666666666
Développement des capacités individuelles d'organisation,"Nettoyage, assainissement, protection de l'environnement",9,0.03022365504735039,86.0
Bâtiment: finitions,"Secrétariat, bureautique",9,0.03022365504735039,136.33333333333334
"Mines et carrières, génie civil, topographie","Sécurité des biens et des personnes, police, surveillance",9,0.03022365504735039,0.0
"Agro-alimentaire, alimentation, cuisine","Animation culturelle, sportive et de loisirs",9,0.03022365504735039,159.5
Bâtiment: construction et couverture,Linguistique,9,0.03022365504735039,106.5
"Electricité, électronique (non compris automatisme et productique)",Mécanique aéronautique et spatiale,9,0.03022365504735039,0.0
Formations générales,"Matériaux de construction, verre, céramique",9,0.03022365504735039,256.5
"Informatique, traitement de l'information, réseaux de transmission des données",Spécialités plurivalentes de l'agronomie et de l'agriculture,9,0.03022365504735039,320.0
Spécialités plurivalentes de la communication,Travail social,9,0.03022365504735039,214.66666666666666
Formations générales,"Philosophie, éthique et théologie",9,0.03022365504735039,152.5
"Droit, sciences politiques","Electricité, électronique (non compris automatisme et productique)",9,0.03022365504735039,0.0
"Agro-alimentaire, alimentation, cuisine","Forêts, espaces naturels, faune sauvage, pêche",9,0.03022365504735039,122.0
"Informatique, traitement de l'information, réseaux de transmission des données","Spécialités plutitechnologiques, mécanique-électricité",9,0.03022365504735039,0.0
"Langues vivantes, civilisations étrangères et régionales","Productions végétales,cultures spécialisées",9,0.03022365504735039,64.0
"Agro-alimentaire, alimentation, cuisine",Structures métalliques,9,0.03022365504735039,0.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)","Spécialités plutitechnologiques, mécanique-électricité",8,0.02686547115320035,29.0
Santé,"Techniques de l'image et du son, métiers connexes du spectacle",8,0.02686547115320035,0.0
Spécialités plurivalentes de la communication,Spécialités plurivalentes des services à la collectivité,8,0.02686547115320035,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Spécialités plurivalentes des services,8,0.02686547115320035,0.0
"Secrétariat, bureautique","Spécialités pluritechnologiques, génie civil, construction, bois",8,0.02686547115320035,29.0
"Agro-alimentaire, alimentation, cuisine","Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",8,0.02686547115320035,96.0
Mécanique aéronautique et spatiale,Structures métalliques,8,0.02686547115320035,104.0
Spécialités plurivalentes de la communication,"Vie familiale, vie sociale et autres formations au développement personnel",8,0.02686547115320035,26.0
"Philosophie, éthique et théologie","Sciences sociales (y compris démographie, anthropologie)",8,0.02686547115320035,0.0
Linguistique,"Nettoyage, assainissement, protection de l'environnement",8,0.02686547115320035,195.0
Autres...,Travail du bois et de l'ameublement,8,0.02686547115320035,25.0
"Commerce, vente","Musique, arts du spectacle",8,0.02686547115320035,26.5
"Enseignement, formation",Moteurs et mécanique auto,8,0.02686547115320035,683.0
Autres...,Jeux et activités spécifiques de loisirs,8,0.02686547115320035,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Spécialités plurivalentes sanitaires et sociales,8,0.02686547115320035,169.5
Autres...,"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",8,0.02686547115320035,0.0
Mécanique aéronautique et spatiale,Technologies industrielles fondamentales,8,0.02686547115320035,104.0
Journalisme et communication,"Vie familiale, vie sociale et autres formations au développement personnel",8,0.02686547115320035,0.0
Economie,"Secrétariat, bureautique",8,0.02686547115320035,0.0
"Aménagement paysager (parcs, jardins, espaces verts)","Animation culturelle, sportive et de loisirs",8,0.02686547115320035,123.0
"Droit, sciences politiques","Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",8,0.02686547115320035,98.0
"Animation culturelle, sportive et de loisirs",Journalisme et communication,8,0.02686547115320035,0.0
"Commerce, vente","Documentation, bibliothèques, administration des données",8,0.02686547115320035,0.0
"Agro-alimentaire, alimentation, cuisine",Textile,8,0.02686547115320035,775.6666666666666
"Comptabilité, gestion",Psychologie,8,0.02686547115320035,0.0
"Documentation, bibliothèques, administration des données","Ressources humaines, gestion du personnel, gestion de l'emploi",8,0.02686547115320035,388.0
"Agro-alimentaire, alimentation, cuisine",Journalisme et communication,8,0.02686547115320035,27.5
"Habillement (y compris mode, couture)",Spécialités plurivalentes de la communication,8,0.02686547115320035,0.0
Arts plastiques,Spécialités plurivalentes de la communication,8,0.02686547115320035,117.0
Economie,Santé,8,0.02686547115320035,0.0
Journalisme et communication,Spécialités plurivalentes des services,8,0.02686547115320035,0.0
"Mathématiques, statistiques","Secrétariat, bureautique",8,0.02686547115320035,0.0
"Enseignement, formation","Spécialités pluritechnologiques, génie civil, construction, bois",8,0.02686547115320035,653.0
"Animation culturelle, sportive et de loisirs","Productions animales, élevage spécialisé, aquaculture, ...",8,0.02686547115320035,0.0
"Aménagement du territoire, développement, urbanisme","Nettoyage, assainissement, protection de l'environnement",8,0.02686547115320035,540.0
"Langues vivantes, civilisations étrangères et régionales",Techniques de l'imprimerie et de l'édition,8,0.02686547115320035,86.0
Economie,Spécialités plurivalentes des services,8,0.02686547115320035,107.5
"Commerce, vente",Langues et civilisations anciennes,8,0.02686547115320035,26.0
Spécialités pluriscientifiques,Spécialités plurivalentes de la communication,8,0.02686547115320035,84.5
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Français, littérature et civilisation françaises",8,0.02686547115320035,548.0
Santé,Spécialités concernant plusieurs capacités,8,0.02686547115320035,206.0
Sciences naturelles (Biologie-Géologie),Spécialités pluriscientifiques,8,0.02686547115320035,49.0
"Enseignement, formation",Spécialités pluriscientifiques,8,0.02686547115320035,354.0
Spécialités littéraires et artistiques plurivalentes,Spécialités pluriscientifiques,8,0.02686547115320035,0.0
Psychologie,"Sécurité des biens et des personnes, police, surveillance",8,0.02686547115320035,188.33333333333334
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)","Transport, manutention, magasinage",8,0.02686547115320035,311.0
"Langues vivantes, civilisations étrangères et régionales","Sciences sociales (y compris démographie, anthropologie)",8,0.02686547115320035,0.0
Autres...,"Mécanique générale et de précision, usinage",8,0.02686547115320035,73.0
Bâtiment: construction et couverture,Spécialités plurivalentes des services,8,0.02686547115320035,31.0
"Aménagement paysager (parcs, jardins, espaces verts)","Enseignement, formation",8,0.02686547115320035,63.0
Spécialités pluriscientifiques,"Spécialités plutitechnologiques, mécanique-électricité",8,0.02686547115320035,0.0
Spécialités plurivalentes des services à la collectivité,"Sécurité des biens et des personnes, police, surveillance",8,0.02686547115320035,76.0
"Français, littérature et civilisation françaises","Spécialités pluridisciplinaires, sciences humaines et droit",8,0.02686547115320035,19.0
"Langues vivantes, civilisations étrangères et régionales",Travail social,8,0.02686547115320035,74.5
"Energie, génie climatique","Mécanique générale et de précision, usinage",8,0.02686547115320035,273.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Spécialités plurivalentes des échanges et de la gestion,8,0.02686547115320035,0.0
Développement des capacités individuelles d'organisation,Linguistique,8,0.02686547115320035,70.0
"Nettoyage, assainissement, protection de l'environnement",Travail social,8,0.02686547115320035,60.0
"Mécanique générale et de précision, usinage","Transport, manutention, magasinage",8,0.02686547115320035,0.0
"Agro-alimentaire, alimentation, cuisine","Techniques de l'image et du son, métiers connexes du spectacle",8,0.02686547115320035,57.0
"Aménagement paysager (parcs, jardins, espaces verts)","Ressources humaines, gestion du personnel, gestion de l'emploi",8,0.02686547115320035,0.0
"Energie, génie climatique",Structures métalliques,8,0.02686547115320035,53.0
"Comptabilité, gestion",Technologies industrielles fondamentales,8,0.02686547115320035,236.66666666666666
"Ressources humaines, gestion du personnel, gestion de l'emploi","Spécialités pluritechnologiques, génie civil, construction, bois",8,0.02686547115320035,66.0
Formations générales,Structures métalliques,8,0.02686547115320035,110.0
Bâtiment: finitions,Technologies industrielles fondamentales,8,0.02686547115320035,197.5
"Aménagement paysager (parcs, jardins, espaces verts)",Linguistique,8,0.02686547115320035,118.5
"Electricité, électronique (non compris automatisme et productique)",Spécialités plurivalentes des services,8,0.02686547115320035,419.6666666666667
"Productions végétales,cultures spécialisées","Transport, manutention, magasinage",8,0.02686547115320035,0.0
"Droit, sciences politiques",Spécialités plurivalentes de l'agronomie et de l'agriculture,8,0.02686547115320035,0.0
"Langues vivantes, civilisations étrangères et régionales",Technologies de commandes des transformations industrielles,8,0.02686547115320035,0.0
